"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"2621-860.35X";"Zapiêcie oprawy";"";"1";"304";""
"2";"2621-860.34X";"Klamra oprawy";"";"2";"304";""
"3";"2621-860.33Z";"Oprawa";"";"1";"";""
