"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"4";"";"K19-F M 68x58x6";"";"2";"PTFE";""
"3";"";"oring 16x2";"";"1";"VITON";""
"1";"";"DIN 6923 M12";"";"1";"316L";""
"2";"2621-860.23Z";"T³oczysko";"";"1";"304";""
"5";"2621-860.20X";"Talerz t³oka 1000 ml";"";"2";"304";""
