"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"2621-860.25X";"Dekiel DN150";"";"4";"304";""
"2";"2621-860.26X";"Dystans cylindra";"";"4";"304";""
"3";"2621-860.27X";"Blacha cylindrów";"";"1";"304";""
"4";"2621-860.28X";"Deska dolna napêdu";"";"1";"304";""
"5";"2621-860.29";"S³upek deski";"";"10";"304";""
