"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"2621-100.09";"Oœ napinacza suwaka";"";"1";"304";""
"2";"2621-100.10X";"P³ytka napinacza pasa";"";"1";"304";""
