"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"2621-300.09XX";"Oklapka";"";"1";"304";""
"2";"2621-300.06";"Kostka nalewaka";"";"1";"PP";""
"3";"2621-300.08";"Docisk nalewaka";"";"2";"POM-C";""
"4";"2621-300.07";"Sworzeñ nalewaka";"";"1";"304";""
