"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"";"WJ200UM-01-20";"";"4";"";""
"2";"";"5M 25 CP";"P³ytka mocuj¹ca pas";"2";"";""
"3";"2621-300.01";"Belka nalewaków";"";"1";"304";""
"4";"2621-300.02XX";"Wons suwaka";"";"2";"304";""
"5";"2621-300.03XX";"Uchwyt czujnika klapek nalewaka";"";"1";"304";""
"6";"2621-300.04XX";"Znaczniki";"";"1";"304";""
"7";"2621-300.05XX";"Uchwyt ML100";"";"1";"304";""
