"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"";"6004ZZ";"";"2";"";""
"2";"2621-100.53";"Oœ rolki suwaka";"";"1";"";""
"3";"";"6304ZZ";"";"2";"";""
