"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"2621-200.17XX";"Rynna okapnika";"";"1";"304";""
"5";"2621-200.15X";"Ucho okapnika";"";"2";"304";""
"6";"2621-200.16X";"Bok okapnika";"";"2";"304";""
"7";"2621-200.14";"Choinka okapnika";"";"2";"304";""
