"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"2621-860.13";"Króciec G1 z³¹cza";"";"1";"304";""
"2";"2621-860.15";"Zaœlepka pod z³¹cze";"";"1";"304";""
