"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"";"ELEKTRO fi50-300-5";"Z371050030028";"1";"";""
"2";"";"RCK61 10x20";"";"1";"";""
"3";"2621-860.41";"£¹cznik t³oczyska DN25";"";"1";"304";""
"4";"2621-860.42";"Ko³o T5_32 si³ownika";"";"1";"PA6";""
"5";"2621-860.43X";"Banda kó³ka";"";"2";"304";""
"6";"2621-860.44X";"P³yta napêdu";"";"1";"304";""
"7";"2621-860.45XX";"Uchwyt p³yty napêdu";"";"2";"304";""
