"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"2621-860.22";"Zaœlepka t³oczyska";"";"1";"304";""
"2";"2621-860.21";"Prêt t³oczyska";"";"1";"304";""
