"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"2621-200.03Z";"Belka okapnika";"";"1";"304";""
"2";"2621-200.02X";"P³ytka czo³owa okapnika";"";"2";"304";""
"3";"2621-200.01X";"P³ytka boczna okapnika";"";"2";"304";""
