"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"2621-860.17";"Zaœ³epka 119";"";"1";"304";""
"2";"2621-860.14";"Króciec G1 cylindra";"";"1";"304";""
