"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"";"CT.476_30 B-M6";"";"1";"";""
"2";"2621-200.18X";"Komar";"";"1";"304";""
"3";"2621-200.19XX";"Paj¹czek";"";"1";"304";""
"4";"2621-200.20";"Blok centrownika";"";"1";"PE1000 bia³y";""
"5";"2621-200.22";"Pryzma centrownika";"";"1";"PE1000";""
"6";"NS-200.18";"Ko³ek rade³kowany";"";"1";"304";""
