"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"1";"2621-100.14XX";"Wanna";"";"1";"304";""
"2";"2621-100.15";"Mufa G34";"";"2";"304";""
