"Poz.";"Nr rysunku";"Nazwa";"Opis";"Ilość";"Materiał";"Dostawca"
"6";"";"MSX.56-B-12-14";"";"2";"";"ELESA"
"3";"";"WJ200QM-01-10";"";"4";"";""
"1";"";" DFM-25-50-P-A-GF";"";"1";"";"FESTO"
"2";"2556-720.01X";"Płyta czołowa";"";"1";"304";""
"5";"2556-720.02X";"Grzebień wysoki";"";"1";"304";""
"7";"2556-720.03";"Słupek czujnika";"";"1";"304";""
