"Poz.";"Nr rysunku";"Nazwa";"Opis";"Iloœæ";"Materia³";"Dostawca"
"3";"";"DN50 21200 DIN32676";"";"2";"304";""
"5";"2621-860.37X";"Rura kolektora";"";"1";"304";""
"7";"2621-860.38";"Króciec DN25";"";"4";"304";""
